Main Activity,Sub-Activity,Hazard,Initial_L,Initial_S,Initial_Risk,Control_Measures,Residual_L,Residual_S,Residual_Risk
Concrete Works,Rebar work,Trip hazard due to scattered reinforcement materials,3,3,9,Maintain housekeeping,2,2,4
Concrete Works,Formwork removal,Fall during dismantling due to unstable access,4,5,20,Use proper platforms; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip due to wet concrete surface,3,2,6,Maintain clean working area,2,2,4
Concrete Works,Mixing,Dust inhalation due to dry cement handling,3,3,9,Use masks; Provide respiratory mask and ensure ventilation,2,2,4
Work at Height,Scaffold work,Worker fell after stepping on plank displaced by repeated loading and vibration,4,5,20,Secure planks and inspect after heavy use; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Slip occurred when fine dust combined with morning dew reduced surface friction,3,5,15,Clean surface and delay work until dry; Provide respiratory mask and ensure ventilation,2,5,10
Work at Height,Facade work,Loss of balance while aligning panel due to sudden shift in suspended load,3,5,15,Stabilize load before positioning; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Fall during inspection due to reliance on temporary access not designed for load,4,5,20,Use certified access platforms; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Worker lost footing when ladder base shifted on loose gravel,3,4,12,Stabilize base and secure ladder; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Operator movement caused platform sway leading to near fall,3,5,15,Operate within limits and avoid sudden shifts; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Fall occurred after stepping on surface contaminated with lubricant residue,3,5,15,Clean area and use anti-slip PPE; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof access,Worker slipped while transitioning from ladder to roof without proper handhold,3,5,15,Provide secure transition points; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Fall risk increased due to simultaneous lifting operations causing distraction,3,5,15,Separate activities and enforce barriers; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Structure instability during dismantling caused loss of balance,4,5,20,Follow engineered dismantling sequence; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable installation,Electric shock occurred when moisture compromised cable insulation integrity,3,5,15,Use moisture-resistant cables and inspect; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Arc flash triggered by conductive dust bridging terminals inside panel,3,5,15,Maintain cleanliness and install covers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Worker exposed to live circuit due to unverified isolation in multi-feed system,3,5,15,Test all sources before work,1,5,5
Electrical Works,Installation,Contact with energized conductor due to incorrect labeling of circuits,3,5,15,Verify labeling before work; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Temporary wiring,Cable insulation degraded due to heat buildup in tightly bundled arrangement,3,4,12,Allow spacing and ventilation,2,3,6
Electrical Works,Inspection,Shock hazard from exposed conductive parts during routine inspection,3,5,15,Install barriers and covers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash occurred due to improper sequencing during energization,3,5,15,Follow strict energization procedure; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Repair,Shock caused by damaged grounding path in system,3,5,15,Test grounding continuity; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Short circuit developed due to loose terminal under vibration,3,4,12,Torque connections properly; Apply lockout tagout and use insulated gloves,2,3,6
Electrical Works,DB setup,Fire initiated by overheating from poor cable arrangement,3,4,12,Organize and ventilate cables; Obtain hot work permit and station fire extinguisher,2,3,6
Excavation,Trenching,Sidewall collapse occurred after rainfall saturated soil beyond stable condition,4,5,20,Install shoring and monitor weather; Use safety harness and lanyard at all times,2,5,10
Excavation,Deep excavation,Progressive soil failure due to absence of staged support installation,4,5,20,Install support progressively,2,5,10
Excavation,Utility excavation,Gas release occurred after accidental strike of unmarked pipeline,3,5,15,Conduct detailed utility survey; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Earthworks,Worker struck when reversing equipment entered blind zone,4,5,20,Use spotter and alarms,2,5,10
Excavation,Backfilling,Entrapment risk due to collapse during rapid compaction,4,5,20,Compact in layers and monitor,2,5,10
Excavation,Pit excavation,Fall into excavation due to missing edge protection in low light,3,4,12,Install lighting and barriers; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Hand injury from sharp debris embedded in soil,3,3,9,Wear gloves and inspect area,2,2,4
Excavation,Trenching,Collapse triggered by surcharge load placed near trench edge,4,5,20,Maintain safe distance from loads; Use safety harness and lanyard at all times,2,5,10
Excavation,Excavation near structure,Adjacent structure settlement caused by soil removal,4,5,20,Provide structural support,2,5,10
Excavation,Excavation work,Slip occurred on muddy incline near excavation edge,3,4,12,Stabilize access routes; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Crane lifting,Load dropped after sling failure caused by undetected wear,4,5,20,Inspect slings before use,2,5,10
Lifting Operations,Crane operation,Collision occurred due to limited operator visibility in congested area,3,5,15,Use signalman and cameras,2,5,10
Lifting Operations,Rigging,Load shifted due to uneven sling tension,3,4,12,Balance sling configuration,2,3,6
Lifting Operations,Material lifting,Sudden load swing caused by abrupt crane acceleration,3,5,15,Control crane movement,2,5,10
Lifting Operations,Mobile crane,Crane instability occurred due to inadequate ground preparation,3,5,15,Assess and compact ground,2,5,10
Lifting Operations,Hoisting,Load detached due to failure of lifting point connection,4,5,20,Verify lifting points,2,5,10
Lifting Operations,Crane lifting,Worker struck by load entering unprotected zone,4,5,20,Establish exclusion zone,2,5,10
Lifting Operations,Material handling,Load shifted due to uneven distribution during lift,3,4,12,Balance load before lifting,2,3,6
Lifting Operations,Crane operation,Delayed reaction due to operator fatigue increased risk,3,5,15,Manage work-rest schedule,2,5,10
Lifting Operations,Rigging,Hand injury occurred due to pinch point during rigging adjustment,3,3,9,Keep hands clear and use gloves,2,2,4
Work at Height,Scaffold work,Worker lost balance after stepping on a plank loosened by repeated dynamic loading,4,5,20,Secure planks and conduct frequent inspections; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Slip occurred when condensation formed on smooth metal roof surface in early hours,3,5,15,Delay work until dry and use anti-slip footwear,2,5,10
Work at Height,Facade work,Fall risk increased when suspended platform shifted during uneven loading of materials,3,5,15,Distribute load evenly and secure platform; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Worker nearly fell when temporary access shifted under body weight during inspection,4,5,20,Use certified access equipment only,2,5,10
Work at Height,Ladder work,Ladder base slipped due to loose sand causing sudden instability,3,4,12,Stabilize base and use anti-slip feet; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Platform oscillation caused by abrupt operator movement resulted in loss of balance,3,5,15,Operate smoothly and avoid sudden motion; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Slip hazard created by oil residue left on elevated surface during repair,3,5,15,Clean surface before work,2,5,10
Work at Height,Roof access,Worker slipped during transition due to lack of handhold at access point,3,5,15,Install proper access handholds,2,5,10
Work at Height,Edge work,Distraction from nearby lifting activity increased likelihood of stepping beyond safe boundary,3,5,15,Isolate work zones,2,5,10
Work at Height,Scaffold dismantling,Partial removal of bracing reduced stability leading to fall hazard,4,5,20,Follow dismantling sequence strictly; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable installation,Electric shock occurred when damaged insulation exposed conductor under load,3,5,15,Inspect cables before energizing; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Arc flash initiated by conductive dust bridging live terminals inside panel,3,5,15,Maintain panel cleanliness; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Shock occurred when secondary power source was not isolated during maintenance,3,5,15,Verify all sources isolated; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Installation,Worker contacted live conductor due to incorrect circuit identification,3,5,15,Confirm circuit status before work,1,5,5
Electrical Works,Temporary wiring,Heat buildup in bundled cables led to insulation degradation,3,4,12,Separate cables and allow airflow,2,3,6
Electrical Works,Inspection,Shock hazard due to exposed live terminals during routine checks,3,5,15,Install protective covers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash occurred due to improper test connection sequence,3,5,15,Follow testing procedures strictly; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Repair,Grounding failure resulted in unexpected energization of equipment frame,3,5,15,Test grounding continuity; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Loose terminal connection generated heat leading to short circuit,3,4,12,Torque connections correctly; Apply lockout tagout and use insulated gloves,2,3,6
Electrical Works,DB setup,Fire initiated due to poor cable management restricting heat dissipation,3,4,12,Organize cables and ensure ventilation,2,3,6
Excavation,Trenching,Heavy rainfall saturated soil causing sudden trench wall collapse,4,5,20,Install shoring and monitor weather; Use safety harness and lanyard at all times,2,5,10
Excavation,Deep excavation,Progressive soil failure due to lack of staged reinforcement installation,4,5,20,Install supports progressively,2,5,10
Excavation,Utility excavation,Gas leak occurred after striking unmarked underground pipeline,3,5,15,Conduct utility survey before digging; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Earthworks,Worker struck by reversing loader entering blind spot area,4,5,20,Use spotter and alarms,2,5,10
Excavation,Backfilling,Rapid compaction caused trench wall collapse leading to entrapment risk,4,5,20,Compact in layers and monitor stability,2,5,10
Excavation,Pit excavation,Fall into excavation due to absence of barricades during night work,3,4,12,Install barriers and lighting; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Hand injury from sharp object embedded in soil during digging,3,3,9,Use gloves and inspect area,2,2,4
Excavation,Trenching,Surcharge load placed too close to edge triggered collapse,4,5,20,Maintain safe distance from loads; Use safety harness and lanyard at all times,2,5,10
Excavation,Excavation near structure,Soil movement caused structural instability in adjacent building,4,5,20,Provide structural support,2,5,10
Excavation,Excavation work,Slip hazard due to muddy slope near trench edge,3,4,12,Stabilize access paths; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Crane lifting,Sling failure due to unnoticed wear caused load to fall,4,5,20,Inspect slings before use; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Crane operation,Collision occurred due to restricted operator visibility in congested site,3,5,15,Use signalman and cameras,2,5,10
Lifting Operations,Rigging,Uneven sling tension caused load instability during lift,3,4,12,Balance sling configuration,2,3,6
Lifting Operations,Material lifting,Load swing caused by abrupt crane acceleration,3,5,15,Control crane movement,2,5,10
Lifting Operations,Mobile crane,Crane instability due to insufficient ground bearing capacity,3,5,15,Assess ground conditions,2,5,10
Lifting Operations,Hoisting,Load detached due to failure of lifting connection point,4,5,20,Verify lifting points before use,2,5,10
Lifting Operations,Crane lifting,Worker struck by moving load entering uncontrolled zone,4,5,20,Establish exclusion zones,2,5,10
Lifting Operations,Material handling,Load shifted due to improper weight distribution during lifting,3,4,12,Balance load,2,3,6
Lifting Operations,Crane operation,Operator fatigue resulted in delayed response to hazard,3,5,15,Manage fatigue and rest periods,2,5,10
Lifting Operations,Rigging,Pinch injury occurred during sling adjustment due to poor coordination,3,3,9,Use clear communication,2,2,4
Work at Height,Scaffold work,Fall occurred when unsecured plank shifted under uneven worker movement,4,5,20,Secure all planks and inspect before use; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Worker slipped after fine dust mixed with moisture created low friction surface,3,5,15,Clean roof and use anti-slip footwear,2,5,10
Work at Height,Facade work,Loss of balance while aligning panel due to unexpected load movement,3,5,15,Stabilize load prior to handling; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Fall risk increased due to use of temporary platform not rated for load,4,5,20,Use certified access platforms; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Ladder shifted when placed on uneven compacted soil,3,4,12,Level ground and secure ladder; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Platform sway caused by sudden operator input resulted in near fall,3,5,15,Operate equipment smoothly; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Slip hazard created by grease contamination on elevated surface,3,5,15,Clean work area before task,2,5,10
Work at Height,Roof access,Worker lost footing while stepping from ladder onto roof edge,3,5,15,Install proper access transition; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Fall hazard increased due to distraction from nearby crane operation,3,5,15,Separate activities with barriers; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Fall occurred when stability reduced after removing key brace prematurely,4,5,20,Follow dismantling sequence; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable installation,Electric shock when insulation failed under wet conditions,3,5,15,Use waterproof cables and inspect; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Arc flash triggered by debris bridging live terminals,3,5,15,Maintain panel cleanliness; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Shock occurred due to unidentified secondary power source,3,5,15,Verify all energy sources; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Installation,Worker contacted live cable due to incorrect labeling,3,5,15,Confirm circuit status before work; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Temporary wiring,Heat buildup caused insulation damage in tightly packed cables,3,4,12,Allow spacing and airflow,2,3,6
Electrical Works,Inspection,Shock hazard from exposed terminals during inspection,3,5,15,Install covers and barriers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash due to incorrect testing sequence,3,5,15,Follow standard testing procedures; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Repair,Shock caused by poor grounding continuity,3,5,15,Test and maintain grounding; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Loose connection caused overheating and short circuit,3,4,12,Secure connections properly,2,3,6
Electrical Works,DB setup,Fire risk from congested wiring reducing heat dissipation,3,4,12,Organize cables properly; Obtain hot work permit and station fire extinguisher,2,3,6
Excavation,Trenching,Collapse occurred after soil weakened due to prolonged rainfall exposure,4,5,20,Install shoring and drainage; Use safety harness and lanyard at all times,2,5,10
Excavation,Deep excavation,Soil failure due to absence of staged reinforcement,4,5,20,Provide progressive support,2,5,10
Excavation,Utility excavation,Gas leak occurred after striking unidentified pipeline,3,5,15,Conduct utility detection; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Earthworks,Worker struck due to machinery entering blind spot area,4,5,20,Use spotter and alarms,2,5,10
Excavation,Backfilling,Entrapment risk during rapid compaction causing wall collapse,4,5,20,Compact gradually,2,5,10
Excavation,Pit excavation,Fall into pit due to missing edge protection,3,4,12,Install guardrails; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Hand injury caused by hidden sharp debris,3,3,9,Use gloves and inspect area,2,2,4
Excavation,Trenching,Collapse triggered by load placed too close to trench edge,4,5,20,Keep loads away; Use safety harness and lanyard at all times,2,5,10
Excavation,Excavation near structure,Adjacent structure destabilized due to soil removal,4,5,20,Provide structural support,2,5,10
Excavation,Excavation work,Slip hazard from muddy surface near trench edge,3,4,12,Stabilize ground; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Crane lifting,Load dropped due to worn sling failing under load,4,5,20,Inspect lifting gear,2,5,10
Lifting Operations,Crane operation,Collision occurred due to limited visibility in confined area,3,5,15,Use signalman; Provide respiratory mask and ensure ventilation,2,5,10
Lifting Operations,Rigging,Load instability caused by incorrect sling configuration,3,4,12,Ensure proper rigging,2,3,6
Lifting Operations,Material lifting,Load swing due to abrupt crane movement,3,5,15,Operate crane smoothly,2,5,10
Lifting Operations,Mobile crane,Crane tipping due to soft ground conditions,3,5,15,Assess ground stability,2,5,10
Lifting Operations,Hoisting,Load detached due to weak lifting point,4,5,20,Verify lifting points,2,5,10
Lifting Operations,Crane lifting,Worker struck due to absence of exclusion zone,4,5,20,Set exclusion zones,2,5,10
Lifting Operations,Material handling,Load shift caused by uneven weight distribution,3,4,12,Balance load,2,3,6
Lifting Operations,Crane operation,Fatigue reduced operator reaction time increasing risk,3,5,15,Manage fatigue,2,5,10
Lifting Operations,Rigging,Pinch injury occurred during sling positioning,3,3,9,Keep hands clear,2,2,4
Concrete Works,Concrete pouring,Formwork collapsed due to uneven load distribution,4,5,20,Monitor pour sequence,2,5,10
Concrete Works,Rebar work,Trip hazard from scattered reinforcement materials,3,3,9,Maintain housekeeping,2,2,4
Concrete Works,Formwork removal,Fall occurred due to unstable platform during dismantling,4,5,20,Use proper access; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip hazard due to wet slurry surface,3,2,6,Clean work area,2,2,4
Concrete Works,Mixing,Dust inhalation from dry cement mixing,3,3,9,Use masks; Provide respiratory mask and ensure ventilation,2,2,4
Welding Works,Arc welding,Eye injury due to exposure to arc light without protection,3,3,9,Use welding helmet,1,2,2
Welding Works,Hot work,Fire caused by sparks igniting nearby materials,3,5,15,Remove combustibles; Obtain hot work permit and station fire extinguisher,1,5,5
Welding Works,Gas cutting,Explosion risk from leaking gas hose,3,5,15,Inspect hoses; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Grinding,Burn injury from hot sparks contacting skin,3,4,12,Wear PPE,2,3,6
Welding Works,Confined welding,Fume inhalation due to poor ventilation,3,5,15,Provide ventilation,1,5,5
Work at Height,Scaffold work,Worker fell when a partially secured plank shifted after repeated loading and minor vibration from nearby equipment,4,5,20,Secure all planks and conduct periodic checks; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Slip occurred as early morning condensation combined with dust reduced surface grip significantly,3,5,15,Delay work until surface is dry and clean; Provide respiratory mask and ensure ventilation,2,5,10
Work at Height,Facade work,Loss of balance while aligning panel due to unexpected movement of suspended load during positioning,3,5,15,Stabilize load before alignment; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Fall risk increased when worker used temporary access not designed to support inspection load,4,5,20,Use certified inspection platforms; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Ladder base shifted on loose gravel causing sudden instability during ascent,3,4,12,Secure ladder base and level surface; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Operator movement created oscillation in platform resulting in loss of balance,3,5,15,Operate platform within safe movement limits; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Slip hazard occurred due to unnoticed oil residue left from previous maintenance activity,3,5,15,Inspect and clean work area before use,2,5,10
Work at Height,Roof access,Worker lost footing when stepping from ladder to roof without adequate handhold support,3,5,15,Install proper access transition systems; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Fall hazard increased due to simultaneous crane operation creating distraction and reduced situational awareness,3,5,15,Separate work zones and coordinate tasks; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Instability developed during dismantling after removal of critical braces leading to fall risk,4,5,20,Follow engineered dismantling procedures; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable installation,Electric shock occurred when insulation degraded due to prolonged exposure to moisture and heat,3,5,15,Use suitable insulation and inspect regularly; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Arc flash triggered when conductive dust accumulated and bridged live terminals inside panel,3,5,15,Maintain cleanliness and install covers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Shock occurred due to incomplete isolation of multi-source electrical system during servicing,3,5,15,Verify full isolation before work,1,5,5
Electrical Works,Installation,Worker contacted live conductor because circuit identification was inaccurate,3,5,15,Confirm circuit status prior to work,1,5,5
Electrical Works,Temporary wiring,Heat buildup in bundled cables led to gradual insulation failure,3,4,12,Allow spacing and ventilation,2,3,6
Electrical Works,Inspection,Shock hazard from exposed live terminals during inspection activity,3,5,15,Install protective covers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash occurred due to improper sequencing during energization test,3,5,15,Follow strict testing procedures; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Repair,Grounding fault caused equipment casing to become energized,3,5,15,Test grounding system integrity; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Loose terminal created resistance heating leading to electrical fault,3,4,12,Tighten terminals correctly; Apply lockout tagout and use insulated gloves,2,3,6
Electrical Works,DB setup,Fire hazard developed due to poor cable arrangement restricting airflow,3,4,12,Organize cables and improve ventilation,2,3,6
Excavation,Trenching,Trench wall collapsed after heavy rainfall weakened soil cohesion beyond safe limits,4,5,20,Install shoring and monitor weather conditions; Use safety harness and lanyard at all times,2,5,10
Excavation,Deep excavation,Progressive soil failure occurred due to absence of staged structural support,4,5,20,Install support progressively,2,5,10
Excavation,Utility excavation,Gas leak occurred when excavation struck unmarked underground pipeline,3,5,15,Conduct utility detection survey; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Earthworks,Worker struck by reversing equipment entering blind zone without warning,4,5,20,Use spotter and alarms,2,5,10
Excavation,Backfilling,Entrapment risk arose when rapid compaction caused trench wall collapse,4,5,20,Compact in layers and monitor stability,2,5,10
Excavation,Pit excavation,Fall into excavation occurred due to lack of barricades during low visibility conditions,3,4,12,Install barriers and lighting; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Hand injury caused by contact with sharp debris hidden in soil,3,3,9,Wear gloves and inspect area,2,2,4
Excavation,Trenching,Collapse triggered by heavy load placed too close to trench edge,4,5,20,Maintain safe distance from loads; Use safety harness and lanyard at all times,2,5,10
Excavation,Excavation near structure,Adjacent structure destabilized due to soil displacement during excavation,4,5,20,Provide structural support,2,5,10
Excavation,Excavation work,Slip occurred on muddy incline near trench edge during access,3,4,12,Stabilize access routes; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Crane lifting,Load dropped after sling failed due to unnoticed wear and tear,4,5,20,Inspect lifting gear before use,2,5,10
Lifting Operations,Crane operation,Collision occurred due to restricted visibility in congested lifting area,3,5,15,Use signalman and visibility aids,2,5,10
Lifting Operations,Rigging,Load became unstable due to uneven sling configuration and weight distribution,3,4,12,Balance sling setup properly,2,3,6
Lifting Operations,Material lifting,Load swung unexpectedly due to sudden crane acceleration and wind,3,5,15,Control crane speed and monitor weather,2,5,10
Lifting Operations,Mobile crane,Crane instability occurred due to insufficient ground bearing capacity under outriggers,3,5,15,Assess ground conditions,2,5,10
Lifting Operations,Hoisting,Load detached when lifting point failed under stress,4,5,20,Verify lifting points before operation,2,5,10
Lifting Operations,Crane lifting,Worker struck by load entering area without exclusion control,4,5,20,Establish exclusion zones,2,5,10
Lifting Operations,Material handling,Load shifted mid-air due to uneven distribution,3,4,12,Balance load before lifting,2,3,6
Lifting Operations,Crane operation,Operator fatigue reduced response time increasing incident risk,3,5,15,Implement fatigue management,2,5,10
Lifting Operations,Rigging,Pinch injury occurred when worker adjusted sling without proper coordination,3,3,9,Improve communication and PPE use,2,2,4
Work at Height,Scaffold work,A worker stepped onto a plank that had loosened over time leading to a sudden loss of footing,4,5,20,Check and secure all planks before use; Use safety harness and lanyard at all times,2,5,10
Work at Height,Facade work,While adjusting a panel the load shifted slightly causing the worker to lose balance,3,5,15,Stabilize panel before adjustment; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Temporary access platform tilted slightly under load during inspection activity,4,5,20,Use certified platforms only; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Ladder base moved when pressure was applied unevenly during climbing,3,4,12,Secure ladder and ensure stable base; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Platform swayed due to abrupt operator movement causing instability,3,5,15,Operate controls smoothly; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Oil residue left from earlier work created an unnoticed slip hazard,3,5,15,Clean work surfaces thoroughly,2,5,10
Work at Height,Roof access,Transition from ladder to roof lacked proper hand support leading to imbalance,3,5,15,Install proper access points; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Nearby lifting activity distracted worker resulting in unsafe positioning near edge,3,5,15,Separate work zones; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Structure became unstable as key components were removed out of sequence,4,5,20,Follow dismantling sequence strictly,2,5,10
Electrical Works,Cable installation,Insulation breakdown due to moisture exposure resulted in electric shock risk,3,5,15,Use moisture-resistant cables; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Dust accumulation inside panel created conductive path leading to arc flash,3,5,15,Maintain panel cleanliness; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Secondary power source remained live causing unexpected energization,3,5,15,Verify isolation completely,1,5,5
Electrical Works,Installation,Circuit labeling error led to contact with live conductor,3,5,15,Confirm circuit identification,1,5,5
Electrical Works,Temporary wiring,Cables bundled tightly caused overheating over time,3,4,12,Allow spacing between cables,2,3,6
Electrical Works,Inspection,Exposed terminals identified during inspection posed shock hazard,3,5,15,Install protective covers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Incorrect testing sequence triggered arc flash incident,3,5,15,Follow proper test procedures; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Repair,Grounding fault caused metal casing to become energized,3,5,15,Test grounding system; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Loose connection generated heat and led to short circuit,3,4,12,Tighten terminals correctly,2,3,6
Electrical Works,DB setup,Overcrowded wiring restricted airflow leading to overheating,3,4,12,Improve cable management,2,3,6
Excavation,Trenching,Heavy rain softened soil causing trench wall to collapse suddenly,4,5,20,Install shoring and monitor conditions,2,5,10
Excavation,Deep excavation,Lack of staged support allowed gradual soil failure over time,4,5,20,Install supports progressively,2,5,10
Excavation,Utility excavation,Excavation struck unknown gas line causing leak hazard,3,5,15,Conduct utility detection; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Earthworks,Worker entered blind spot of moving equipment and was nearly struck,4,5,20,Use spotter and alarms,2,5,10
Excavation,Backfilling,Rapid compaction destabilized trench wall leading to collapse risk,4,5,20,Compact in layers,2,5,10
Excavation,Pit excavation,Unprotected edge resulted in worker slipping into excavation area,3,4,12,Install guardrails; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Sharp debris in soil caused hand injury during digging,3,3,9,Wear gloves,2,2,4
Excavation,Trenching,Load placed too close to edge increased pressure causing collapse,4,5,20,Keep loads away from trench edge; Use safety harness and lanyard at all times,2,5,10
Excavation,Excavation near structure,Soil removal caused settlement in adjacent structure,4,5,20,Provide structural support,2,5,10
Excavation,Excavation work,Muddy slope near trench caused worker to slip during access,3,4,12,Stabilize access route,2,3,6
Lifting Operations,Crane lifting,Sling failure due to wear caused load to drop unexpectedly,4,5,20,Inspect slings regularly,2,5,10
Lifting Operations,Crane operation,Operator visibility was obstructed leading to near collision,3,5,15,Use signalman,2,5,10
Lifting Operations,Rigging,Uneven sling setup resulted in unstable load during lifting,3,4,12,Balance sling configuration,2,3,6
Lifting Operations,Material lifting,Load swing occurred due to sudden crane movement and wind,3,5,15,Control movement and monitor weather,2,5,10
Lifting Operations,Mobile crane,Ground conditions were insufficient causing crane instability,3,5,15,Assess and prepare ground,2,5,10
Lifting Operations,Hoisting,Lifting point failed leading to load detachment mid-air,4,5,20,Verify lifting points,2,5,10
Lifting Operations,Crane lifting,Worker entered lifting zone and was struck by moving load,4,5,20,Establish exclusion zones,2,5,10
Lifting Operations,Material handling,Load shifted due to poor weight distribution,3,4,12,Balance load,2,3,6
Lifting Operations,Crane operation,Fatigue reduced operator awareness and reaction time,3,5,15,Implement fatigue management,2,5,10
Lifting Operations,Rigging,Hand caught between sling and load during adjustment,3,3,9,Keep hands clear,2,2,4
Lifting Operations,Crane operation,Collision due to operator blind spots,2,5,10,Use cameras and signalman,2,5,10
Work at Height,Platform work,Fall due to sudden jerking movement of mechanical platform,2,5,10,Operate platform smoothly and conduct maintenance; Use safety harness and lanyard at all times,2,5,10
Welding Works,Gas cutting,Improper cylinder handling causing hazard,2,5,10,Secure cylinders,1,5,5
Concrete Works,Concrete pouring,Formwork failure due to inadequate support spacing,2,5,10,Follow design specifications,2,5,10
Demolition,Structural removal,Collapse due to removal of load-bearing elements,2,5,10,Obtain engineering approval,2,5,10
